Id,MSSubClass,LotArea,OverallQual,YearBuilt,TotalBsmtSF,GrLivArea,FullBath,HalfBath,BedroomAbvGr,TotRmsAbvGrd,GarageCars,SalePrice
59,120,2081,7,1943,997,1688,2,0,4,8,2,279938
60,120,8898,10,1935,1752,2027,3,0,4,10,2,429735
61,120,8353,5,2010,1103,1263,1,1,3,7,2,269210
62,160,11029,4,1990,1096,1417,2,1,4,9,2,256142
63,160,18236,5,1941,613,934,2,1,2,7,3,169351
64,20,12919,4,1942,447,886,2,0,2,6,2,121162
65,160,9920,6,1948,1291,1941,2,1,3,8,2,302688
66,160,15975,6,1973,1754,2227,3,0,4,9,2,379263
67,60,11177,6,1988,1373,1477,2,1,3,9,2,282191
68,160,17698,5,1966,1706,2041,3,0,4,9,2,336210
69,50,7475,8,1954,1104,1704,3,0,3,10,2,336789
70,50,5334,2,1945,621,1176,2,0,4,8,1,166396
71,50,1500,5,1967,1218,1704,2,1,4,8,2,315461
72,20,10025,7,1972,1307,2322,3,0,5,10,2,389385
73,120,4944,7,1943,1105,1496,3,1,3,9,2,302365
74,60,4880,5,1935,1608,2336,3,0,5,10,2,358563
75,20,15154,2,1952,231,450,2,0,1,6,2,53362
76,120,2750,6,1989,1075,1946,3,0,4,9,2,339092
77,60,10966,3,1941,1184,1560,2,0,3,7,3,218290
78,60,10125,4,1942,854,1358,2,0,2,8,2,204968
79,60,10914,6,1935,883,1563,2,0,3,7,3,251494
80,50,16728,5,1992,0,471,1,1,1,5,2,137462
81,50,6784,5,1967,974,1399,3,0,2,9,2,220097
82,50,16732,6,1979,1510,1702,3,2,3,10,2,360822
83,60,2579,9,1981,1902,2290,3,1,4,9,1,452087
84,60,13428,9,1969,787,1242,2,1,4,8,1,303448
85,50,17143,5,1937,654,1090,2,0,3,9,2,192523
86,60,1500,5,1990,960,1251,1,0,2,6,2,231642
87,50,10340,5,1937,1216,1995,3,0,4,9,2,298585
88,50,9974,5,1963,1235,1687,3,0,2,9,2,271695
89,50,10823,6,2008,1003,1236,2,1,3,8,1,283102
90,120,18202,6,1989,1469,1784,3,0,3,8,1,306836
91,60,7063,6,1986,1077,1565,2,0,3,9,2,287318
92,20,5169,5,1975,1379,2023,3,1,5,12,1,341459
93,50,10856,5,1951,644,1146,2,0,2,6,2,176756
94,20,15559,6,1969,790,1342,2,1,2,7,2,219518
95,120,13013,5,1974,875,1309,2,0,2,7,2,241870
96,60,10654,6,1984,588,746,2,1,2,8,1,199985
97,50,9468,6,1980,1333,1670,2,0,2,7,1,283337
98,50,1500,6,1934,1011,1652,3,0,2,9,2,272501
99,50,13136,6,1942,1330,1517,2,0,3,7,2,253971
100,20,13674,6,1957,924,1391,2,1,3,8,1,251741
101,120,7384,5,2009,535,771,1,0,2,5,3,166730
102,60,8408,2,1991,771,1294,2,0,2,8,1,182036
103,120,5782,6,1953,498,1335,2,1,2,6,2,237173
104,50,14406,5,1936,924,1093,2,1,3,8,1,177458
105,120,8853,6,1967,1133,1430,2,1,2,6,2,275782
106,20,9828,7,1966,1158,1727,2,2,3,8,2,295703
107,160,13331,8,1997,1765,2505,3,0,5,11,1,471665
108,160,11971,8,1971,1217,1606,2,0,3,8,2,319169
109,60,13034,2,1934,873,1650,3,1,3,9,2,239395
110,60,11286,10,1993,937,1475,2,1,3,8,2,339127
111,120,11387,7,1979,497,507,1,0,1,6,1,171339
112,60,11344,6,1944,824,1501,2,0,3,7,2,232934
113,20,12538,2,2002,1135,1546,2,1,3,9,0,238818
114,50,12756,7,1982,1721,2808,3,0,5,10,2,428197
115,50,4988,4,1954,1073,1414,2,0,3,7,2,243366
116,120,7812,7,1938,1164,1673,3,0,4,9,2,349457
117,50,9584,2,1967,756,1496,2,0,3,9,2,182717
118,120,12533,6,1951,840,901,2,1,2,7,2,207312
119,60,17688,6,1978,1347,2114,2,0,4,9,2,358022
120,60,6840,5,1997,1190,1909,2,1,4,10,0,297884
121,20,14453,4,1944,1387,1930,2,1,4,9,1,281237
122,50,7939,6,1994,932,1037,1,0,2,5,2,203281
123,20,16667,4,1983,1392,2251,2,1,4,9,2,383233
124,160,19105,6,1959,556,779,2,0,2,7,1,199106
125,20,2633,6,1949,1353,1823,2,0,4,9,2,308423
126,120,9031,7,1962,1989,2664,3,0,4,9,2,459276
127,120,1500,6,2006,727,994,2,0,3,8,2,238615
128,20,2895,3,1936,785,1217,2,0,2,7,1,177258
129,60,3176,5,1937,947,1567,2,1,3,8,2,232851
130,160,13308,5,1957,890,1250,2,1,3,9,0,256265
131,20,12466,8,1974,297,700,1,1,1,6,1,173816
132,60,14105,7,2002,559,1550,3,0,3,9,2,292279
133,20,13235,5,2009,748,957,1,0,2,7,1,204921
134,50,12682,4,2003,1396,1763,2,0,3,9,2,297858
135,120,11003,8,1940,297,1032,2,0,3,7,1,225438
136,50,9911,8,1960,1447,2328,3,0,4,11,2,426642
137,50,15088,7,1941,883,1103,2,1,2,8,0,215111
138,160,10555,7,2007,1311,1345,2,2,3,8,1,351563
139,60,12863,6,1980,1363,1942,3,0,3,8,2,333823
140,120,1500,5,1973,476,868,1,0,1,4,2,150060
141,50,5212,6,1979,1110,1634,2,1,3,7,3,332613
142,120,14911,6,1946,1788,2201,3,0,4,11,2,361559
143,60,7492,6,1964,353,671,2,1,1,6,2,182699
144,20,4220,6,1930,983,1611,3,1,3,8,2,280936
145,50,13385,5,1958,1068,1651,3,1,2,7,1,263891
146,60,10506,5,1980,1175,1925,3,0,4,11,2,319330
147,120,8668,6,1993,627,865,1,1,3,6,2,217026
148,60,17290,4,1933,867,821,2,0,2,7,1,169248
149,20,16518,6,1957,1310,1789,2,1,4,8,2,322650
150,60,9654,7,1945,1123,1670,2,0,4,9,0,276446
151,120,13750,7,1992,1099,1646,2,0,3,8,3,326334
152,50,1500,5,2005,905,1696,3,0,4,10,2,305089
153,50,15420,6,1982,968,1157,2,0,2,8,2,218762
154,160,5610,3,1946,1131,1636,2,1,4,10,1,250491
155,120,3965,6,1969,1135,1668,3,1,3,9,1,333403
156,160,2466,5,1942,1372,1139,2,1,3,8,1,233741
157,160,2118,6,1981,1799,2494,3,0,5,10,1,440668
158,20,15361,7,1987,1098,1763,2,1,4,8,2,346633
159,120,13340,6,1966,545,889,2,0,2,6,3,200974
160,50,7053,2,2008,1508,1859,3,1,4,11,2,298049
161,120,14347,5,2005,722,1003,1,1,3,6,2,225879
162,20,7822,6,1990,1090,1928,3,0,4,10,2,360719
163,120,11956,5,2008,1651,2123,2,1,3,8,2,372322
164,120,8329,7,1963,638,1084,2,0,1,7,0,213627
165,160,9960,6,1999,1751,2020,3,0,4,11,2,399029
166,120,6413,7,1946,1406,1731,3,0,4,9,2,343082
167,160,7080,6,1949,1281,1946,3,0,4,11,2,317109
168,160,12948,6,2002,1987,2510,3,1,6,12,3,450844
169,60,13671,6,1988,982,1386,2,0,2,7,2,251871
170,20,8636,5,1998,936,1119,2,0,2,8,1,189060
171,160,3635,6,1962,820,1048,2,1,1,6,2,231425
172,120,21620,5,2007,607,1086,2,1,3,9,0,285090
173,160,10665,8,1946,915,1474,2,1,3,8,2,317947
174,160,11904,5,1986,1371,1694,2,1,4,8,2,312266
175,160,4824,4,1930,1101,1660,2,1,3,9,2,236683
176,50,15968,4,1942,1291,1949,2,0,5,11,3,276445
177,50,16655,2,1956,892,1521,2,0,4,10,2,208853
178,50,2813,5,1999,1670,2278,3,0,5,11,1,409708
179,50,10039,5,1988,1334,1376,2,0,3,7,1,253797
180,60,9688,2,1935,1867,2943,4,1,6,14,2,454679
181,160,21248,6,1952,1294,1843,2,0,3,8,1,279736
182,60,16996,6,1939,998,1064,2,1,3,9,1,232186
183,120,3971,4,1980,652,952,1,0,3,7,1,170437
184,20,7223,6,1948,1319,1768,2,0,4,8,2,306005
185,60,6481,7,1980,786,1397,2,0,2,7,1,257572
186,50,12172,9,1997,1399,1889,2,1,4,9,3,399505
187,50,17574,6,1971,1200,1763,3,1,3,10,3,316390
188,120,10991,5,1986,1210,1476,2,1,3,8,3,299260
189,160,12755,7,1997,962,1070,2,0,2,8,0,283364
190,20,7510,6,1967,969,719,1,2,1,5,3,178852
191,60,12731,5,1991,1000,1280,2,0,2,6,3,208280
192,160,8376,7,1936,1433,1964,2,0,4,9,3,343793
193,160,3116,5,2000,1173,1627,3,2,3,10,2,320651
194,60,12438,9,1979,538,860,1,0,1,5,2,223917
195,60,10455,7,1981,1184,1605,2,1,3,8,1,326462
196,60,5562,6,1955,1148,1717,2,0,4,8,2,323045
197,60,17904,7,1955,765,1050,1,1,2,7,0,233788
198,50,7050,6,1948,1353,1595,3,1,3,8,1,315152
199,160,13240,6,1938,900,1545,2,0,4,9,3,279967
200,160,8868,7,1990,844,914,2,1,3,7,2,253445
201,50,17446,7,1949,1428,1702,2,0,3,8,1,295817
202,160,9430,8,1979,1245,1809,2,1,3,8,3,378337
203,60,2964,8,2009,1076,2083,3,0,4,9,3,400381
204,20,14145,9,2010,1338,2068,3,0,4,9,1,407131
205,160,17427,7,1951,787,791,1,0,1,5,2,159682
206,20,8575,6,1942,711,1022,2,0,2,6,2,182778
207,20,13554,5,1941,1069,1785,3,1,2,7,2,260700
208,50,11082,7,1939,1157,1784,3,0,4,10,1,340087
209,120,8777,5,1994,1400,1785,2,0,4,10,0,311465
210,160,14283,5,1959,2574,3537,4,0,6,12,1,553243
211,50,6899,5,1937,1226,1814,2,0,4,8,0,305885
212,50,10646,7,1950,1411,2111,3,1,4,11,3,394202
213,20,11658,7,1951,1339,2015,3,2,3,8,2,377426
214,160,11494,6,1947,1133,1856,2,0,5,10,3,319567
215,50,7010,6,1995,1235,1349,2,1,3,7,2,283292
216,60,19768,6,1977,1281,1913,3,0,4,10,1,342163
217,50,16180,6,1973,995,1109,2,0,3,9,3,250498
218,60,14956,5,1938,1246,1390,3,1,2,9,3,237189
219,120,16949,5,1996,1061,1260,2,0,3,9,2,248278
220,60,10809,5,1983,1012,1557,3,1,3,8,1,275258
221,60,8829,6,1955,1983,2730,3,1,6,13,2,476332
222,20,5599,6,1955,369,534,2,0,1,5,2,154836
223,50,7334,6,1963,1149,1875,3,1,4,9,3,375498
224,120,5936,9,1937,525,668,2,1,1,5,0,194275
225,50,8123,4,1939,674,1267,2,0,3,9,1,181281
226,60,11744,5,1977,1673,2086,3,1,4,11,2,365812
227,60,14613,5,1984,999,1548,2,0,3,7,2,253057
228,50,14488,2,1983,700,949,2,2,1,7,0,160666
229,120,5228,5,2007,848,1139,2,1,2,6,2,233541
230,120,13601,5,1969,1263,1871,2,0,3,9,2,288220
231,20,15647,6,1944,897,1131,2,0,3,8,2,244663
232,60,9355,5,2010,1054,1628,1,1,3,8,1,246153
233,60,15889,7,1947,1233,1538,3,0,1,8,2,297761
234,20,14441,6,1952,578,1172,2,0,2,8,2,201649
235,50,4809,4,1991,1870,2640,3,0,5,10,3,425431
236,60,20362,7,1975,1641,1847,2,0,3,7,1,364039
237,50,7279,4,1968,135,451,2,0,1,6,1,57816
238,120,14808,7,1944,1006,1612,1,0,3,7,3,268544
239,160,14645,8,1982,909,1167,2,0,3,8,2,279767
240,20,4991,5,1993,1405,1962,3,1,4,9,2,308749
241,60,11305,8,1992,831,1098,2,0,2,7,2,269956
242,20,14590,7,2009,1105,1454,3,0,3,9,1,311352
243,120,4944,8,1945,1360,1780,2,0,3,9,2,309916
244,120,10948,6,1999,1578,1969,3,1,4,10,2,365854
245,120,14967,5,1995,692,884,2,0,1,7,2,170808
246,120,15257,8,1942,893,1339,3,0,2,7,1,270543
247,160,8713,5,1976,1006,1265,2,0,2,6,3,233417
248,50,17449,5,1938,1162,1172,2,1,2,8,2,235824
249,50,16374,5,1992,1684,2441,3,1,5,11,2,409396
250,160,11585,5,1963,1033,1727,3,1,3,8,3,314812
251,50,7534,6,2010,796,853,1,1,1,6,2,184052
252,120,5253,7,1958,1375,1996,2,1,4,8,2,358460
253,50,12198,8,1966,1449,2629,3,0,4,9,3,477960
254,20,17090,4,1972,1592,2057,3,1,5,11,2,320339
255,50,9837,8,1993,405,717,1,0,1,4,2,165225
256,20,6634,8,1953,865,1260,1,1,2,7,3,279189
257,60,14212,3,2000,1585,2180,3,1,3,9,1,342289
258,20,11285,5,1963,834,1143,1,0,2,7,0,181941
259,20,12821,7,1977,1351,1748,2,0,4,10,3,314607
260,120,8136,6,1941,1266,1921,1,0,4,9,2,298655
261,120,8835,7,1952,811,1028,2,1,3,8,3,242716
262,120,8115,7,2008,991,1483,2,1,3,7,0,313747
263,20,12746,6,1942,447,450,1,1,1,6,1,104050
264,160,8972,3,1974,794,977,2,0,2,6,1,157440
265,120,13165,6,1994,799,1382,2,1,2,6,2,253797
266,120,7703,3,1976,796,859,2,0,3,9,2,174528
267,20,12738,6,1987,1563,2372,2,1,4,8,2,372101
268,60,13667,7,1934,680,764,1,0,2,6,0,175830
269,60,11991,6,2006,964,1283,1,0,3,7,2,301444
270,50,14626,10,1934,1438,1583,2,0,4,8,2,333613
271,60,8333,6,1989,1549,2271,3,1,4,9,1,384331
272,120,13616,7,1950,469,761,2,2,2,7,3,200597
273,160,11550,6,1953,1484,2125,3,0,6,11,1,323468
274,50,6856,10,1947,1009,1520,2,0,3,7,2,304269
275,160,1918,7,1950,843,999,2,1,1,5,3,226740
276,160,2880,5,1983,938,1757,3,0,2,7,2,284055
277,120,1500,8,1939,943,1619,2,1,4,10,1,333993
278,20,12417,6,1953,647,1199,2,0,1,5,1,204164
279,20,9038,3,1989,1256,1551,2,0,3,8,3,239517
280,20,10892,6,1986,1226,1312,2,1,3,9,1,266512
281,60,9688,8,1952,1082,1574,3,1,3,10,2,322121
282,20,13117,6,1951,1273,1862,2,0,4,9,3,291716
283,120,13249,5,1997,1655,2347,3,0,5,10,3,394054
284,60,10693,7,1963,814,865,1,1,2,7,2,190956
285,20,10965,7,1999,1676,2634,3,0,5,12,2,434151
286,160,11145,6,1957,385,490,1,1,1,4,3,120864
287,120,16763,4,1968,1180,1435,2,0,2,6,2,239253
288,120,1500,5,1971,1366,1823,3,1,4,10,1,330485
289,50,7482,7,1952,1197,1662,2,1,4,10,1,329703
290,120,14393,7,1999,1011,1188,2,1,3,7,1,266123
291,160,15485,5,2009,496,1405,2,0,4,8,2,254287
292,120,12422,5,1931,1001,1256,1,1,2,6,2,232208
293,50,9671,4,1953,725,1205,2,0,3,9,2,221082
294,120,18877,7,1946,1043,1961,2,0,5,9,2,313056
295,120,11300,1,1994,1283,1702,3,2,4,10,2,247823
296,50,10638,3,1999,1052,1151,1,1,3,8,2,231190
297,120,16493,1,1998,1366,1987,3,1,3,10,0,287724
298,60,12639,6,1989,1344,1676,3,0,3,10,2,319986
299,120,14729,5,1979,1648,1941,3,0,3,10,2,331186
300,20,15256,5,1941,1528,1845,3,0,4,10,2,319355
301,20,8823,8,1976,1050,1079,2,0,2,6,0,269674
302,60,18454,5,1996,987,1220,2,1,3,9,3,240619
303,120,1500,5,1994,1348,1907,3,0,5,12,3,343134
304,160,1591,8,1956,996,1835,2,1,4,8,2,332912
305,120,7439,5,1977,1008,1504,2,0,3,9,2,262583
306,20,8594,6,1991,951,1576,2,0,3,9,2,273059
307,50,12131,4,1973,1920,2185,2,0,4,8,1,319808
308,60,7397,7,1948,811,1204,2,0,3,7,1,272916
309,50,10446,5,1988,1283,1802,2,0,4,10,2,307672
310,160,9576,7,1937,1084,1408,2,1,3,7,1,306972
311,120,19520,5,1984,987,1400,2,0,3,8,2,218224
312,160,6877,5,1976,1768,2091,3,1,3,9,2,333773
313,50,2926,7,1931,1251,1948,3,0,3,10,2,341944
314,120,15535,9,1968,1394,1942,3,2,5,12,1,418275
315,160,7287,3,1974,1406,2200,3,0,4,9,2,301989
316,20,10087,7,1961,830,1526,2,1,3,7,1,308119
317,20,7592,5,1994,1200,1873,3,0,4,11,2,313383
318,60,13817,6,1967,939,1352,3,1,2,9,2,290701
319,20,4315,5,2006,1102,1685,2,1,3,8,3,297575
320,20,1500,6,1940,887,1446,2,0,3,7,1,230580
321,50,16330,5,1939,842,1565,2,0,3,9,2,229316
322,20,11613,5,1988,1263,1827,2,0,5,11,1,343501
323,20,15326,3,1984,488,1085,2,1,1,5,2,158952
324,50,16179,4,1949,1965,2613,3,0,6,11,2,419133
325,20,6375,8,2010,705,986,2,0,2,8,2,284800
326,20,10772,10,1946,351,877,2,0,2,8,2,239573
327,60,12774,7,1997,1430,2123,3,0,5,12,2,397989
328,20,10012,5,1934,1215,1930,2,1,3,7,1,284395
329,20,9095,5,1989,1346,1842,3,0,4,11,2,336026
330,60,9538,7,1952,1532,1844,2,1,3,9,1,364584
331,50,15375,9,1975,718,1508,2,1,3,9,1,299081
332,20,9334,6,1981,750,1043,2,0,2,7,0,224071
333,160,13201,7,1939,1058,1554,2,1,3,8,1,291986
334,50,12061,9,1975,932,1159,2,0,3,7,2,259785
335,50,6161,7,1957,1456,2026,3,1,4,11,2,359426
336,20,11858,5,1972,870,1437,2,0,3,9,1,234037
337,60,3575,1,1955,699,1081,3,1,2,7,1,162690
338,50,12306,6,1984,798,1346,2,0,2,6,2,266108
339,60,14510,6,1977,1405,1731,3,0,4,9,2,299783
340,160,15546,5,1958,857,1219,2,1,3,9,3,239596
341,60,6212,5,1956,1100,1083,2,0,2,7,3,218275
342,120,8087,7,1947,1138,1642,2,1,3,7,3,313395
343,60,11778,6,1989,1022,1643,2,0,3,9,2,296611
344,50,8358,5,2003,601,1248,2,1,3,7,2,258199
345,60,1820,6,1998,562,1267,2,0,3,9,1,269371
346,60,8062,6,2003,860,1636,1,1,4,7,2,265198
347,120,11760,7,1950,575,754,2,0,1,7,0,181939
348,120,15303,4,1953,634,776,1,0,1,4,3,119709
349,20,18101,7,1932,511,1137,2,0,2,7,2,203222
350,50,11062,6,1991,1142,1402,2,1,3,7,2,277735
351,20,13049,3,1931,1087,1678,2,0,3,7,0,227087
352,120,14823,7,1995,1628,2289,3,1,4,10,2,398184
353,60,1500,5,1971,1665,1965,2,1,4,8,1,348998
354,120,5913,5,1963,1163,1431,2,0,3,8,1,246250
355,160,10961,6,1971,1005,1505,2,1,2,8,2,287761
356,60,17501,5,1949,531,988,2,0,3,8,0,173543
357,20,13333,5,1997,666,1505,2,0,4,9,2,252001
358,60,11983,7,1974,824,1363,2,1,3,9,2,262330
359,160,9473,4,2004,1140,1684,2,1,3,8,2,271743
360,120,12420,9,1971,578,1080,2,1,2,7,2,254528
361,50,7816,6,1976,1227,1787,3,0,3,10,2,330439
362,50,6990,5,1934,1637,2319,3,0,5,10,3,384128
363,50,7381,4,1978,979,1457,2,0,2,6,2,236857
364,120,16532,6,1966,1090,1725,3,1,4,10,2,321913
365,50,6718,6,1963,1344,1877,3,0,3,8,2,337669
366,160,8705,3,2002,992,1304,2,1,4,8,2,235132
367,120,12619,5,1999,946,1632,2,0,3,8,2,278548
368,50,6539,7,1947,1318,1521,2,0,3,9,2,286759
369,20,11517,3,2007,1078,1566,2,0,3,7,2,263065
370,120,11516,7,1948,779,1109,2,0,2,7,1,182334
371,120,7689,6,2007,1196,1527,3,0,4,11,2,283265
372,60,9335,6,1969,1285,1776,2,1,2,6,2,323418
373,50,6253,5,1946,1764,2276,3,1,5,12,2,375492
374,20,16722,2,1989,1464,2018,2,0,4,9,2,301731
375,160,11659,7,1971,1741,2645,3,0,5,12,1,435810
376,120,5781,4,2010,843,1112,2,0,2,8,3,239746
377,160,11068,5,2001,1174,1972,2,1,5,10,3,338410
378,160,11272,6,1994,1147,1611,3,0,3,8,2,320715
379,160,1500,5,1982,1858,2664,3,1,5,10,3,423927
380,60,16531,6,1936,725,1090,2,0,3,9,0,195296
381,160,6046,7,1934,728,1074,1,0,2,7,3,171454
382,50,19905,6,1953,501,1200,2,1,2,8,1,232830
383,50,14078,8,1957,216,450,1,0,1,6,1,155450
384,20,5429,7,1991,883,1238,2,1,2,6,1,271739
385,20,9085,5,1946,809,1116,1,0,3,7,1,169864
386,160,14651,5,1949,930,1593,2,0,4,9,1,285569
387,160,9430,5,1932,1413,1694,2,0,4,9,3,281336
388,60,15802,6,1966,1593,2499,3,1,5,12,3,429750
389,160,8807,5,1944,1583,2013,3,1,5,12,1,348711
390,160,10146,9,1980,925,1212,2,0,2,7,1,270666
391,160,14775,6,1977,613,1043,2,1,1,5,2,229684
392,120,13215,5,1937,1560,1773,2,0,4,9,2,302135
393,120,6336,6,1942,359,821,2,0,3,7,1,173972
394,60,12453,5,1977,1898,2476,3,0,4,11,2,407278
395,60,11253,7,1932,1673,2134,2,0,4,9,2,374646
396,50,6397,6,1994,766,1268,2,0,3,8,1,266205
397,60,4242,3,2002,681,615,1,2,1,6,2,101456
398,50,1808,5,1960,1512,2225,3,0,4,9,2,328869
399,160,9175,7,1955,1069,1454,2,0,4,9,1,302380
400,60,10256,6,2010,1561,2164,1,0,6,10,3,366809
401,60,12770,8,1985,449,677,2,1,1,5,2,192020
402,60,14192,4,1963,985,1200,2,1,2,7,1,215277
403,50,8637,5,1938,1204,1517,2,0,2,7,1,222634
404,50,10126,5,1991,762,1539,2,0,3,9,1,250865
405,20,7085,6,1942,1129,1278,3,0,3,8,2,275411
406,50,10892,5,1998,989,1841,2,0,4,9,1,278332
407,50,14858,4,1970,853,954,2,0,2,7,2,153852
408,120,10955,6,2006,1210,1440,2,0,3,9,1,262302
409,60,15734,6,1930,908,1578,1,0,3,7,2,227422
410,50,14783,5,1976,1175,1785,2,0,4,10,2,299456
411,60,17059,6,1933,1122,1888,2,0,4,9,2,290771
412,60,11081,7,1992,608,924,1,1,1,6,2,237266
413,120,8104,5,1981,440,709,1,1,2,5,3,164185
414,60,13295,5,1939,1669,2185,3,0,5,10,2,356950
415,50,8821,5,1957,1418,1689,2,0,4,9,2,313256
416,60,13154,7,1935,1036,1122,1,0,1,5,2,186594
417,20,7517,7,1956,1529,2329,3,0,4,11,2,412029
418,20,6772,5,1941,1064,1575,1,1,3,8,1,239991
419,120,15974,5,1991,1190,2134,2,0,5,9,1,335431
420,50,5943,8,1981,939,1550,3,1,4,10,2,353356
421,120,15100,10,1977,1990,2596,3,1,6,13,2,512502
422,20,13137,6,1996,1996,2436,3,0,5,10,2,436600
423,50,10924,9,1975,746,1384,2,0,2,6,1,294131
424,60,1983,6,2003,1310,2025,2,0,5,11,1,366283
425,50,17185,7,1944,1292,1853,2,0,3,8,3,309200
426,160,6293,5,2000,1613,2233,2,0,5,9,1,388897
427,50,14789,6,1965,559,1008,1,0,2,7,1,151380
428,60,7390,4,1943,1388,1875,3,1,5,10,2,324142
429,160,7029,7,2007,1363,2070,3,0,5,11,2,365386
430,120,13508,8,1932,411,591,1,0,1,6,2,142986
431,50,12923,6,1996,723,893,2,1,1,6,3,221127
432,120,5347,5,1948,316,450,1,1,1,5,1,69536
433,50,16965,4,2005,882,1373,2,0,3,7,2,242654
434,20,9572,5,1983,1303,1891,2,1,4,9,1,297560
435,20,10810,5,1998,1596,2303,3,0,4,9,2,365211
436,60,9163,6,1939,1020,1553,2,0,3,9,2,245320
437,20,5537,8,1962,1612,2370,3,0,5,12,0,406611
438,160,13808,3,1942,840,790,1,0,1,4,2,80732
439,160,11802,1,1980,534,620,2,1,2,6,2,137283
440,50,6877,6,1961,986,1485,2,1,2,6,2,261801
441,120,14748,5,2004,1326,1716,2,1,3,8,3,286832
442,160,10746,8,1953,987,1497,2,0,2,8,1,278231
443,50,10843,5,1964,526,450,1,0,1,6,1,114422
444,120,18494,5,1999,1094,1468,2,0,2,7,1,254319
445,20,3264,5,1969,561,830,2,0,1,5,1,141529
446,50,3204,4,1983,1386,1866,3,1,5,12,1,313574
447,120,4217,6,1973,912,1707,2,1,3,8,2,316497
448,60,12136,5,1991,511,1021,2,0,2,6,1,171914
449,60,8884,5,1997,656,1245,2,0,3,9,3,197080
450,160,9242,6,1962,696,958,1,0,2,5,1,180773
451,120,6259,2,2006,1349,1482,2,0,3,8,1,199402
452,60,17993,2,1985,1812,2016,2,0,3,9,1,271598
453,160,19504,6,1965,812,997,2,0,3,7,2,197314
454,50,14545,7,1983,1335,1779,3,0,5,10,2,340307
